,prompt,completion
0,"Waterspot Remover - Obat Anti Jamur Penghilang Noda Kerak Kaca Mobil - 250ML + Lap jumlah review per bintang (1-5) : {5: 120, 4: 18, 3: 15, 1: 7, 2: 3} topik per bintang : {1: 'fungsi paket spray kaca sprayer buruk kering dikit aman kena', 3: 'spray rusak barang semprotannya kaca jamur dipake botolnya nyemprot cuci', 4: 'berfungsi semprotan proses botol dicoba semprotannya bagus semoga sayang rusak', 5: 'barang sesuai dicoba cepat semoga sesuai_pesanan seller packing kaca_kinclong coba'} ->","Waterspot Remover adalah obat anti jamur yang diformulasikan untuk menghilangkan noda kerak kaca mobil. Produk ini memiliki banyak review positif dari pelanggan, dengan mayoritas memberikan bintang lima. Dari review-review tersebut, dapat disimpulkan bahwa produk ini berfungsi dengan baik untuk membersihkan kaca mobil dari jamur dan kerak. Sprayernya juga dikatakan maksimal dan mudah digunakan. Selain itu, pelanggan juga menyebutkan bahwa produk ini cepat dicoba dan sesuai dengan pesanan. Packingnya juga dikatakan kuat dan kaca mobil menjadi kinclong setelah dicuci dengan produk ini. Namun, ada juga beberapa pelanggan yang menyebutkan bahwa sprayer rusak dan proses semprotan tidak berfungsi dengan baik. Namun, mayoritas pelanggan menyebutkan bahwa produk ini berfungsi dengan baik dan membantu mereka membersihkan kaca mobil dari jamur dan kerak. END"
1,"NPURE NONI PROBIOTICS ""BALANCE ME"" FINE TONER jumlah review per bintang (1-5) : {5: 59, 4: 7} topik per bintang : {4: 'cocok kulit step sensasi cepat semoga_cocok dicoba foto unboxing serumnyaa', 5: 'cepat kulit aman banget pengiriman suka cocok bikin toner semoga_cocok'} ->","NPURE NONI PROBIOTICS ""BALANCE ME"" FINE TONER adalah produk toner yang dapat membantu menjaga keseimbangan kulit. Produk ini mendapatkan banyak review positif dari pelanggan yang menyebutkan bahwa produk ini aman digunakan dan cocok untuk kulit sensitif. Selain itu, pelanggan juga menyebutkan bahwa produk ini cepat diserap oleh kulit dan memberikan sensasi yang nyaman. Pembelian produk ini juga mudah karena tersedia di berbagai marketplace seperti Tokopedia. Namun, ada beberapa hal yang perlu dipertimbangkan sebelum membeli produk ini. Beberapa pelanggan menyebutkan bahwa produk ini belum tentu cocok untuk semua jenis kulit, jadi pastikan untuk melakukan tes sensitivitas terlebih dahulu sebelum menggunakannya. END"
2,"Cough & Flu Essential Oil Blend Batuk Pilek W Eucalyptus 10ml - MUSIM jumlah review per bintang (1-5) : {5: 40, 1: 1, 4: 1} topik per bintang : {5: 'cepat wanginya enak barang pengiriman beli bagus seller packing produk'} ->","Cough & Flu Essential Oil Blend Batuk Pilek W Eucalyptus 10ml - MUSIM adalah produk yang sangat direkomendasikan. Pelanggan yang telah mencoba produk ini memberikan review yang sangat positif, dengan mayoritas memberikan bintang lima. Mereka menyebutkan bahwa produk ini memiliki wangi yang cepat tercium, barang yang bagus, pengiriman yang cepat, dan packing produk yang baik. Ini adalah produk yang sangat direkomendasikan untuk Anda yang ingin mencoba produk ini. Namun, meskipun produk ini memiliki banyak kelebihan, ada juga beberapa kekurangan yang perlu dipertimbangkan. Beberapa pelanggan menyebutkan bahwa produk ini tidak sepenuhnya efektif untuk mengatasi batuk dan pilek. Oleh karena itu, sebelum membeli produk ini, pastikan Anda telah membaca review-review yang diberikan oleh pelanggan lain. END"
3,"Palmolive Naturals Milk & Orchid Sabun Mandi 1L - Isi 2 jumlah review per bintang (1-5) : {5: 1130, 4: 65, 3: 41, 1: 13, 2: 11} topik per bintang : {1: 'barang bocor sabun beli patah proses order paket pengiriman pesen', 2: 'botol bocor packing beli pesan terbuka dikirim tutupnya pengiriman kardus', 3: 'packing pengiriman kardus_tipis bagus barang sabun beli tutup bocor rusak', 4: 'packing pengiriman barang aman bagus produk kali bocor botol sabun', 5: 'aman packing barang pengiriman_cepat rapi cepat bagus seller banget terima_kasih'} ->","Palmolive Naturals Milk & Orchid Sabun Mandi 1L adalah produk yang banyak dicari oleh pelanggan. Produk ini memiliki banyak kelebihan, seperti packing yang bagus dan pengiriman yang cepat. Selain itu, produk ini juga aman dan terjamin kualitasnya. Namun, ada juga beberapa kekurangan yang perlu diperhatikan. Beberapa pelanggan mengeluhkan bahwa produk ini datang dengan botol yang bocor atau tutup yang rusak. Selain itu, kardus yang digunakan untuk packing juga terlalu tipis sehingga mudah patah. Namun, meskipun ada beberapa kekurangan, produk ini masih banyak dicari dan mendapatkan banyak review positif dari pelanggan. END"
4,"Slimsure Burn Fat Capsule (Menghancurkan dan Membakar Lemak jahat) jumlah review per bintang (1-5) : {5: 147, 4: 18, 1: 4, 3: 4, 2: 2} topik per bintang : {1: 'efek ngefek fake apapun buang turun kalori doang makan botol', 2: 'dibuka efek mahal segel annya kebuka tulisan alias tutup tanggal', 3: 'produk pakai pagi ahli konsultasi sebulan berat_badan pdhal ditambah cepat', 4: 'semoga cepat seller produk pengiriman_cepat kurir sesuai minum efek berat_badan', 5: 'semoga barang semoga_cocok pengiriman_cepat produk sesuai coba bagus berhasil terima_kasih'} ->","Slimsure Burn Fat Capsule adalah produk yang dapat membantu Anda menghancurkan dan membakar lemak jahat. Produk ini mendapatkan banyak review positif dari pelanggan, dengan bintang mendapatkan jumlah review terbanyak. Dari review-review tersebut, para pelanggan menyebutkan bahwa produk ini cepat dikirim, sesuai dengan yang diharapkan, dan cocok untuk dikonsumsi bersama olahraga. Selain itu, produk ini juga dikatakan berhasil membantu mereka menurunkan berat badan. Namun, ada juga yang menyebutkan bahwa produk ini mahal dan botolnya mudah terbuka. Jadi, jika Anda ingin mencoba produk ini, pastikan untuk membaca deskripsi produk dan mengikuti petunjuk penggunaan yang tepat. END"
5,"Paket 2 pcs Lap Microfiber Mobil 40x40 cm Premium Tebal 600 GSM 2 sisi - Kuning-Abu jumlah review per bintang (1-5) : {5: 736, 4: 27, 3: 9, 1: 5, 2: 5} topik per bintang : {1: 'harapkan sesuai dimana coba memamg karna produck iklan barangnya murah', 2: 'sesuai bikin paketnya videonya sale deskripsi flash mengecewakan pendek menyerap', 3: 'lumayan tebal daya_serap mahal bahannya harga segini mobil sesuai keringin', 4: 'sesuai bagus harga bahan barang semoga beda cepat untung bedanya', 5: 'bagus sesuai barang tebal deskripsi cepat seller pengiriman_cepat lembut mantap'} ->","Paket pcs Lap Microfiber Mobil 40xcm Premium Tebal GSM sisi - Kuning-Abu ini merupakan produk yang berkualitas tinggi. Bahannya yang tebal dan halus membuat produk ini mampu menyerap cairan dengan baik. Selain itu, produk ini juga memiliki respon yang bagus dan cepat. Harganya pun terbilang cukup terjangkau. Namun, ada beberapa kekurangan yang perlu dipertimbangkan. Beberapa pelanggan mengeluhkan bahwa produk ini terlalu mahal untuk kualitas yang ditawarkan. Selain itu, ada juga yang mengeluhkan bahwa produk ini mudah hancur. Meskipun demikian, produk ini masih layak dibeli karena kualitasnya yang baik dan harganya yang terjangkau. END"
6,"DOMPET LIPAT PRIA WATERPROOF DOMPET PENDEK PRIA DOMPET PRIA ANTI AIR - BLACK jumlah review per bintang (1-5) : {5: 217, 4: 20, 3: 8, 2: 4, 1: 1} topik per bintang : {3: 'kartu uang sempit kasar kukira bahan dompet kainnya tali lepas', 4: 'bagus barang lumayan kaku sesuai semoga_awet aman cepat pengiriman dompet', 5: 'bagus sesuai mantap barang keren dompetnya kartu modelnya_keren dompet kaku'} ->","Dompet Lipat Pria Waterproof ini adalah pilihan yang tepat untuk Anda yang mencari dompet yang aman dan tahan lama. Dompet ini memiliki bahan yang kuat dan tebal, sehingga Anda tidak perlu khawatir tentang air atau kotoran yang masuk. Dompet ini juga memiliki ruang yang cukup untuk menyimpan uang dan kartu Anda dengan aman. Pelanggan yang telah membeli dompet ini memberikan review yang positif, dengan banyak yang menyebutkan bahwa dompet ini bagus, sesuai dengan yang diharapkan, dan modelnya keren. Bahkan, banyak yang menyebutkan bahwa dompet ini cukup kaku dan aman untuk menyimpan uang dan kartu Anda. Namun, ada juga yang menyebutkan bahwa ruang kartu cukup sempit dan terisi dengan cepat. Jadi, pastikan Anda memilih dompet yang sesuai dengan kebutuhan Anda. END"
7,"YUTA Kran Cuci Piring Fleksibel - Sink Tap Zinc TSF jumlah review per bintang (1-5) : {5: 25, 3: 1, 4: 1, 2: 1} topik per bintang : {5: 'bagus cepat barang sesuai produk pengiriman awet rapi harga deskripsi'} ->","Yuta Kran Cuci Piring Fleksibel adalah produk yang banyak dicari oleh para pelanggan. Produk ini mendapatkan banyak review positif dari pelanggan, dengan bintang yang mendominasi. Pelanggan menyebutkan bahwa produk ini bagus, cepat sampai, sesuai dengan deskripsi, awet, dan harganya terjangkau. Produk ini juga memiliki desain yang rapi dan modern. Kran Cuci Piring Fleksibel ini memiliki fleksibilitas yang tinggi, sehingga dapat dipasang di berbagai jenis tempat. Ini adalah produk yang ideal untuk memenuhi kebutuhan rumah tangga. Namun, ada beberapa kekurangan dari produk ini, seperti kurangnya kualitas bahan yang digunakan. Meskipun demikian, produk ini masih layak untuk dibeli karena harganya yang terjangkau dan kualitas yang baik. END"
8,WDressroom No. 45 Morning Rain - Eau De Perfume Korea | 70 ml jumlah review per bintang (1-5) : {5: 5} topik per bintang : {5: 'sesuai mantapp baunya deskripsi wangi tahan puas datangnya ekspektasi suka'} ->,"WDressroom No. Morning Rain - Eau De Perfume Korea | ml adalah produk yang memiliki banyak kelebihan. Parfum ini memiliki wangi yang menyegarkan dan tahan lama, sehingga cocok untuk digunakan sehari-hari. Parfum ini juga sesuai dengan deskripsi yang diberikan, sehingga pelanggan tidak akan kecewa dengan produk ini. Parfum ini juga memiliki kemasan yang cantik dan elegan, sehingga cocok untuk dibawa kemana-mana. Namun, ada beberapa kekurangan dari produk ini. Parfum ini mungkin terlalu kuat untuk beberapa orang, sehingga mereka harus menggunakannya dengan hati-hati. Selain itu, parfum ini mungkin tidak tahan lama pada beberapa orang. Namun, WDressroom No. Morning Rain - Eau De Perfume Korea | ml adalah produk yang layak dicoba karena wanginya yang menyegarkan dan tahan lama, serta kemasannya yang cantik dan elegan. END"
9,"Merries Skin Protection Popok Bayi Celana M 30 jumlah review per bintang (1-5) : {5: 31, 4: 3} topik per bintang : {4: 'premium merries produk halus sehalus admin pros samar daya cons', 5: 'cepat pengiriman barang sesuai packing bagus merries pesanan kasih kualitas'} ->","Merries Skin Protection Popok Bayi Celana M adalah produk yang banyak dicari oleh orang tua. Produk ini memiliki banyak kelebihan, seperti kualitas skin protection yang baik, pengiriman yang cepat, dan packing yang sesuai. Selain itu, harga yang ditawarkan juga cukup terjangkau. Namun, ada juga beberapa kekurangan yang perlu dipertimbangkan. Beberapa pelanggan menyatakan bahwa produk ini tidak selalu sesuai dengan pinggang bayi. Meskipun demikian, banyak pelanggan yang menyukai produk ini karena kualitasnya yang premium. Mereka juga mengapresiasi kecepatan pengiriman dan packing yang baik. END"
